,InvoiceDate,InvoiceNo,StockCode,Description,Quantity,InvoiceDate.1,UnitPrice,CustomerID,Country,Estore_id
18469,2011-01-28 13:54:00,C542537,,,1.0,2011-01-28 13:54:00,1.25,12501.0,Germany,3
18521,2011-08-31 12:39:00,C564913,,,1.0,2011-08-31 12:39:00,4.15,12560.0,Germany,1
18553,2010-12-13 14:38:00,C538643,21658,,-1.0,2010-12-13 14:38:00,3.95,12476.0,Germany,3
18556,2011-05-23 12:48:00,C554266,,JUMBO BAG APPLES,-2.0,2011-05-23 12:48:00,2.08,12474.0,Germany,32
18559,2011-02-14 09:54:00,C543830,22720,,-2.0,2011-02-14 09:54:00,4.95,12476.0,Germany,11
18565,2011-01-05 11:42:00,C540158,22968,,-2.0,2011-01-05 11:42:00,9.95,12471.0,Germany,12
18590,2011-01-28 13:54:00,C542537,,,1.0,2011-01-28 13:54:00,1.25,12501.0,Germany,29
18594,2011-08-11 09:16:00,C562943,23316,,-1.0,2011-08-11 09:16:00,9.95,12693.0,Germany,27
18617,2011-11-17 11:52:00,C576974,,,1.0,2011-11-17 11:52:00,4.25,12474.0,Germany,26
18639,2011-03-30 15:12:00,C548356,,,1.0,2011-03-30 15:12:00,2.95,12472.0,Germany,4
18652,2011-05-03 11:28:00,C551588,22962,,-3.0,2011-05-03 11:28:00,0.85,12708.0,Germany,22
18660,2010-12-20 15:52:00,C539644,,,1.0,2010-12-20 15:52:00,1.45,12471.0,Germany,15
18668,2011-12-08 14:08:00,C581409,,,-1.0,2011-12-08 14:08:00,4.95,12476.0,Germany,7
18691,2010-12-01 14:33:00,C536548,,,-6.0,2010-12-01 14:33:00,1.65,12472.0,Germany,9
18712,2011-09-02 11:31:00,C565284,23198,,1.0,2011-09-02 11:31:00,1.45,12471.0,Germany,11
18729,2011-10-27 13:45:00,C573037,,,-13.0,2011-10-27 13:45:00,1.45,12471.0,Germany,1
18749,2011-10-27 13:45:00,C573037,,,-11.0,2011-10-27 13:45:00,10.95,12471.0,Germany,29
18757,2011-02-03 10:14:00,C543050,22637,,-2.0,2011-02-03 10:14:00,2.55,12625.0,Germany,32
18766,2011-02-21 12:59:00,C544570,22625,,-2.0,2011-02-21 12:59:00,8.5,12471.0,Germany,3
18769,2010-12-01 14:33:00,C536548,,,-1.0,2010-12-01 14:33:00,1.65,12472.0,Germany,29
18779,2011-03-30 15:12:00,C548356,,,1.0,2011-03-30 15:12:00,1.65,12472.0,Germany,13
18792,2011-05-09 12:39:00,C552406,,,-1.0,2011-05-09 12:39:00,7.65,12709.0,Germany,7
18816,2011-06-06 11:17:00,C555600,23200,JUMBO BAG PEARS,-10.0,2011-06-06 11:17:00,2.08,12633.0,Germany,28
18837,2011-06-02 14:25:00,C555366,20723,,-2.0,2011-06-02 14:25:00,0.72,12590.0,Germany,15
18879,2011-01-05 15:32:00,C540243,22606,,1.0,2011-01-05 15:32:00,15.95,12585.0,Germany,22
18930,2011-03-30 15:12:00,C548356,,,1.0,2011-03-30 15:12:00,2.95,12472.0,Germany,21
18952,2011-02-01 09:38:00,C542781,,RED TOADSTOOL LED NIGHT LIGHT,1.0,2011-02-01 09:38:00,1.65,12626.0,Germany,11
18977,2011-08-12 10:17:00,C563107,,3 TRADITIONAl BISCUIT CUTTERS  SET,-12.0,2011-08-12 10:17:00,2.1,12709.0,Germany,6
18994,2011-11-17 09:15:00,C576903,23485,BOTANICAL GARDENS WALL CLOCK ,-1.0,2011-11-17 09:15:00,25.0,12712.0,Germany,12
19002,2011-08-19 10:37:00,C563751,21232,,-4.0,2011-08-19 10:37:00,1.25,12528.0,Germany,24
19009,2011-01-28 13:54:00,C542537,,,1.0,2011-01-28 13:54:00,2.55,12501.0,Germany,5
19017,2011-10-19 16:44:00,C571928,,,-5.0,2011-10-19 16:44:00,5.95,12720.0,Germany,6
19024,2011-02-08 14:55:00,C543469,,,-1.0,2011-02-08 14:55:00,12.75,12709.0,Germany,19
19036,2011-10-23 09:42:00,C572275,,,-1.0,2011-10-23 09:42:00,2.95,12572.0,Germany,32
19069,2011-01-28 13:54:00,C542537,,,1.0,2011-01-28 13:54:00,4.95,12501.0,Germany,25
19082,2011-02-14 09:54:00,C543830,22847,,-1.0,2011-02-14 09:54:00,16.95,12476.0,Germany,14
19085,2011-08-31 12:39:00,C564913,,,1.0,2011-08-31 12:39:00,4.25,12560.0,Germany,19
19097,2011-11-08 13:30:00,C575082,,,1.0,2011-11-08 13:30:00,1.65,12613.0,Germany,10
19110,2011-02-07 12:44:00,C543347,,,1.0,2011-02-07 12:44:00,1.25,12472.0,Germany,13
19118,2011-07-19 13:42:00,C560564,22326,,-1.0,2011-07-19 13:42:00,2.95,12468.0,Germany,2
19131,2011-01-06 13:41:00,C540346,22077,6 RIBBONS RUSTIC CHARM,-4.0,2011-01-06 13:41:00,1.65,12471.0,Germany,12
19132,2011-02-08 14:55:00,C543469,,,-2.0,2011-02-08 14:55:00,3.39,12709.0,Germany,11
19137,2011-08-04 10:36:00,C562281,,,-3.0,2011-08-04 10:36:00,0.79,12476.0,Germany,25
19182,2011-09-16 15:14:00,C567147,,,-24.0,2011-09-16 15:14:00,0.55,12709.0,Germany,2
19190,2011-07-01 14:35:00,C558727,,,-1.0,2011-07-01 14:35:00,1.65,12709.0,Germany,16
19232,2011-09-02 11:31:00,C565284,23197,,1.0,2011-09-02 11:31:00,1.45,12471.0,Germany,13
19241,2011-02-08 11:45:00,C543445,22231,JIGSAW TREE WITH BIRDHOUSE,-12.0,2011-02-08 11:45:00,1.45,12662.0,Germany,29
19247,2011-01-05 11:42:00,C540158,22423,,-2.0,2011-01-05 11:42:00,10.95,12471.0,Germany,6
19260,2011-02-01 09:38:00,C542781,,CHILDS BREAKFAST SET SPACEBOY ,1.0,2011-02-01 09:38:00,8.5,12626.0,Germany,13
19264,2011-02-08 14:55:00,C543469,,,-2.0,2011-02-08 14:55:00,2.55,12709.0,Germany,28
19273,2011-07-14 11:00:00,C559953,,,-3.0,2011-07-14 11:00:00,4.15,13815.0,Germany,9
19288,2011-02-04 09:46:00,C543175,,,-2.0,2011-02-04 09:46:00,8.5,12712.0,Germany,28
19291,2011-08-31 12:39:00,C564913,,,1.0,2011-08-31 12:39:00,0.72,12560.0,Germany,24
19432,2011-01-05 15:32:00,C540243,22558,,1.0,2011-01-05 15:32:00,1.49,12585.0,Germany,9
19442,2011-11-14 11:23:00,C576183,22556,PLASTERS IN TIN CIRCUS PARADE ,-12.0,2011-11-14 11:23:00,1.65,12476.0,Germany,4
19447,2011-03-30 15:12:00,C548356,,,1.0,2011-03-30 15:12:00,0.65,12472.0,Germany,31
19474,2011-02-11 10:41:00,C543661,,,1.0,2011-02-11 10:41:00,10.95,12471.0,Germany,27
19480,2011-06-01 16:33:00,C555273,,,1.0,2011-06-01 16:33:00,2.95,12708.0,Germany,20
19486,2011-07-07 11:44:00,C559253,,,-1.0,2011-07-07 11:44:00,4.15,12472.0,Germany,18
19505,2011-01-05 11:42:00,C540158,22728,,-4.0,2011-01-05 11:42:00,3.75,12471.0,Germany,25
19506,2011-08-23 10:38:00,C564104,23199,,1.0,2011-08-23 10:38:00,2.08,12530.0,Germany,31
19547,2011-02-08 11:37:00,C543431,22212,,-1.0,2011-02-08 11:37:00,2.1,12474.0,Germany,25
19556,2011-11-28 10:48:00,C579090,84598,,-288.0,2011-11-28 10:48:00,0.21,12427.0,Germany,30
19564,2011-02-01 09:38:00,C542781,,CHILDS BREAKFAST SET SPACEBOY ,1.0,2011-02-01 09:38:00,8.5,12626.0,Germany,18
19579,2011-08-23 11:49:00,C564142,79191C,RETRO PLASTIC ELEPHANT TRAY,-1.0,2011-08-23 11:49:00,0.85,12477.0,Germany,13
19590,2011-05-09 12:39:00,C552406,,,-2.0,2011-05-09 12:39:00,3.39,12709.0,Germany,24
19600,2011-07-07 11:44:00,C559253,,,-1.0,2011-07-07 11:44:00,1.25,12472.0,Germany,13
19629,2011-01-25 13:15:00,C542101,22423,,1.0,2011-01-25 13:15:00,10.95,12471.0,Germany,14
19652,2011-03-30 15:12:00,C548356,,,1.0,2011-03-30 15:12:00,2.95,12472.0,Germany,8
19668,2011-02-07 12:44:00,C543347,,,1.0,2011-02-07 12:44:00,1.65,12472.0,Germany,30
19718,2011-03-17 18:13:00,C546886,,,1.0,2011-03-17 18:13:00,10.95,12520.0,Germany,27
19764,2011-09-16 10:47:00,C566986,84663A,GRASS HOPPER WOODEN WALL CLOCK ,-1.0,2011-09-16 10:47:00,0.79,12476.0,Germany,31
19788,2010-12-23 10:20:00,C539866,,,-3.0,2010-12-23 10:20:00,2.55,12427.0,Germany,11
19815,2011-10-04 12:47:00,C569485,,,-2.0,2011-10-04 12:47:00,2.08,12705.0,Germany,31
19824,2011-01-05 15:32:00,C540243,22316,,1.0,2011-01-05 15:32:00,1.25,12585.0,Germany,22
19844,2010-12-15 14:25:00,C539031,,,1.0,2010-12-15 14:25:00,3.75,12647.0,Germany,5
19848,2011-03-25 13:37:00,C547806,,,-1.0,2011-03-25 13:37:00,4.95,12528.0,Germany,12
19854,2011-08-04 10:36:00,C562281,,,-3.0,2011-08-04 10:36:00,0.79,12476.0,Germany,17
19900,2011-06-02 11:54:00,C555346,,,-1.0,2011-06-02 11:54:00,9.95,12710.0,Germany,7
19928,2011-05-23 12:48:00,C554266,,3 HOOK HANGER MAGIC GARDEN,-5.0,2011-05-23 12:48:00,1.95,12474.0,Germany,17
19934,2011-01-05 11:42:00,C540158,22962,,-17.0,2011-01-05 11:42:00,0.85,12471.0,Germany,22
19957,2011-11-08 16:05:00,C575150,,,-3.0,2011-11-08 16:05:00,4.15,12471.0,Germany,32
19968,2011-03-17 18:13:00,C546886,,,1.0,2011-03-17 18:13:00,10.95,12520.0,Germany,10
19979,2011-06-07 15:37:00,C555881,22907,,-12.0,2011-06-07 15:37:00,0.85,12473.0,Germany,29
19984,2011-02-01 11:09:00,C542798,21531,RED RETROSPOT SUGAR JAM BOWL,-1.0,2011-02-01 11:09:00,2.55,12477.0,Germany,6
20012,2011-11-03 14:00:00,C574261,23325,,1.0,2011-11-03 14:00:00,1.65,12683.0,France,30
20013,2011-10-10 11:56:00,C570291,,LUNCH BAG  BLACK SKULL.,-10.0,2011-10-10 11:56:00,1.65,12731.0,France,3
20081,2011-12-08 11:46:00,C581316,21531,,1.0,2011-12-08 11:46:00,2.55,12523.0,France,14
20119,2011-04-27 16:28:00,C551333,,BIRDS MOBILE VINTAGE DESIGN,-2.0,2011-04-27 16:28:00,5.95,12681.0,France,27
20157,2011-12-02 12:43:00,C580263,,,1.0,2011-12-02 12:43:00,2.1,12536.0,France,17
20170,2011-02-16 11:48:00,C544117,POST,,1.0,2011-02-16 11:48:00,18.0,12727.0,France,16
20191,2011-09-27 13:57:00,C568534,22432,,-6.0,2011-09-27 13:57:00,1.95,12579.0,France,17
20222,2011-12-02 12:43:00,C580263,,,1.0,2011-12-02 12:43:00,1.06,12536.0,France,18
20324,2011-06-08 09:14:00,C555935,,,-10.0,2011-06-08 09:14:00,1.65,12567.0,France,10
20451,2011-10-06 19:36:00,C569981,22314,OFFICE MUG WARMER CHOC+BLUE,-2.0,2011-10-06 19:36:00,2.95,12679.0,France,1
20478,2011-06-08 09:14:00,C555935,,,-20.0,2011-06-08 09:14:00,1.65,12567.0,France,18
20506,2011-06-08 09:14:00,C555935,,,-2.0,2011-06-08 09:14:00,8.25,12567.0,France,7
20520,2011-07-28 13:41:00,C561621,85066,CREAM SWEETHEART MINI CHEST,1.0,2011-07-28 13:41:00,12.75,12722.0,France,29
20521,2011-08-12 10:31:00,C563109,20725,,-6.0,2011-08-12 10:31:00,1.65,12656.0,France,30
20767,2011-11-28 15:43:00,C579192,,,1.0,2011-11-28 15:43:00,12.75,12657.0,France,30
20932,2011-12-02 12:43:00,C580263,,,1.0,2011-12-02 12:43:00,2.1,12536.0,France,13
21118,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,1.25,12683.0,France,4
21213,2011-06-17 10:06:00,C557142,,3 TRADITIONAl BISCUIT CUTTERS  SET,-12.0,2011-06-17 10:06:00,2.1,12678.0,France,19
21467,2011-02-16 11:48:00,C544117,POST,,1.0,2011-02-16 11:48:00,18.0,12727.0,France,31
21528,2011-03-08 14:35:00,C545997,,,1.0,2011-03-08 14:35:00,1.95,12679.0,France,2
21590,2011-11-03 14:00:00,C574261,21208,,1.0,2011-11-03 14:00:00,0.39,12683.0,France,25
21646,2011-11-24 11:44:00,C578377,,,-120.0,2011-11-24 11:44:00,0.72,14277.0,France,29
21697,2011-09-27 15:48:00,C568557,,,-1.0,2011-09-27 15:48:00,3.25,12681.0,France,15
21872,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,2.08,12683.0,France,14
21983,2011-11-28 15:43:00,C579192,,,1.0,2011-11-28 15:43:00,4.25,12657.0,France,16
21997,2011-11-03 14:00:00,C574261,23325,,1.0,2011-11-03 14:00:00,1.65,12683.0,France,18
22006,2011-09-16 12:45:00,C567091,22960,JAM MAKING SET WITH JARS,1.0,2011-09-16 12:45:00,4.25,12513.0,France,6
22009,2011-01-21 17:01:00,C541825,20914,,-1.0,2011-01-21 17:01:00,2.95,12652.0,France,2
22013,2011-06-30 14:58:00,C558575,22693,,1.0,2011-06-30 14:58:00,1.25,12674.0,France,12
22047,2011-11-03 09:54:00,C574095,,,1.0,2011-11-03 09:54:00,3.75,12674.0,France,12
22074,2011-04-11 09:45:00,C549582,22423,,-3.0,2011-04-11 09:45:00,12.75,12656.0,France,32
22094,2011-04-27 16:28:00,C551333,,BIRDS MOBILE VINTAGE DESIGN,-2.0,2011-04-27 16:28:00,5.95,12681.0,France,17
22104,2011-12-02 12:43:00,C580263,,,1.0,2011-12-02 12:43:00,0.29,12536.0,France,27
22189,2011-11-30 11:39:00,C579562,23084,,-1.0,2011-11-30 11:39:00,2.08,12553.0,France,20
22365,2011-05-31 13:45:00,C555100,,,-1.0,2011-05-31 13:45:00,16.95,12493.0,France,17
22456,2011-03-08 14:35:00,C545997,,,1.0,2011-03-08 14:35:00,1.95,12679.0,France,29
22482,2011-12-08 11:46:00,C581316,23020,,1.0,2011-12-08 11:46:00,12.5,12523.0,France,12
22550,2011-11-28 15:43:00,C579192,,,1.0,2011-11-28 15:43:00,2.89,12657.0,France,13
22606,2011-09-16 12:45:00,C567091,22960,JAM MAKING SET WITH JARS,1.0,2011-09-16 12:45:00,4.25,12513.0,France,10
22627,2011-02-18 15:22:00,C544422,,,-12.0,2011-02-18 15:22:00,0.85,12553.0,France,4
22655,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,1.25,12683.0,France,8
22669,2011-01-05 11:36:00,C540156,21843,,-1.0,2011-01-05 11:36:00,10.95,12683.0,France,25
22762,2011-06-08 09:14:00,C555935,,,-25.0,2011-06-08 09:14:00,0.42,12567.0,France,5
22776,2011-11-03 09:54:00,C574095,,,1.0,2011-11-03 09:54:00,2.95,12674.0,France,11
22779,2011-06-08 09:14:00,C555935,,,-2.0,2011-06-08 09:14:00,8.25,12567.0,France,28
22818,2011-10-11 10:39:00,C570515,90201B,,1.0,2011-10-11 10:39:00,2.95,12719.0,France,6
23034,2011-11-03 09:54:00,C574095,,,1.0,2011-11-03 09:54:00,3.75,12674.0,France,17
23152,2011-07-28 13:41:00,C561621,85066,CREAM SWEETHEART MINI CHEST,1.0,2011-07-28 13:41:00,12.75,12722.0,France,21
23271,2011-06-30 14:58:00,C558575,22693,,1.0,2011-06-30 14:58:00,1.25,12674.0,France,26
23368,2011-06-08 09:14:00,C555935,,,-25.0,2011-06-08 09:14:00,0.42,12567.0,France,20
23413,2011-11-24 11:44:00,C578377,,,-120.0,2011-11-24 11:44:00,0.72,14277.0,France,4
23488,2011-11-30 09:21:00,C579532,POST,,1.0,2011-11-30 09:21:00,18.0,12494.0,France,3
23565,2011-01-05 11:13:00,C540151,,RED RETROSPOT CAKE STAND,1.0,2011-01-05 11:13:00,10.95,12494.0,France,6
23695,2011-12-02 12:43:00,C580263,,,1.0,2011-12-02 12:43:00,0.42,12536.0,France,4
23853,2011-03-08 14:35:00,C545997,,,1.0,2011-03-08 14:35:00,1.95,12679.0,France,13
23882,2011-01-21 17:01:00,C541825,21877,,-1.0,2011-01-21 17:01:00,1.25,12652.0,France,13
23961,2011-11-28 15:43:00,C579192,,,1.0,2011-11-28 15:43:00,2.49,12657.0,France,32
23990,2011-04-05 09:46:00,C548914,M,Manual,-1.0,2011-04-05 09:46:00,1136.3,12669.0,France,14
24012,2011-11-28 15:43:00,C579192,,,1.0,2011-11-28 15:43:00,12.75,12657.0,France,26
24073,2011-07-21 17:30:00,C560898,85066,,-1.0,2011-07-21 17:30:00,12.75,12722.0,France,18
24134,2011-11-24 11:44:00,C578377,,,-120.0,2011-11-24 11:44:00,0.72,14277.0,France,11
24137,2011-06-30 14:58:00,C558575,22693,,1.0,2011-06-30 14:58:00,1.25,12674.0,France,10
24173,2011-11-30 11:39:00,C579562,23084,,-1.0,2011-11-30 11:39:00,2.08,12553.0,France,30
24183,2011-11-28 15:43:00,C579192,,,1.0,2011-11-28 15:43:00,2.95,12657.0,France,4
24187,2011-11-30 11:39:00,C579562,21731,,-1.0,2011-11-30 11:39:00,1.65,12553.0,France,8
24241,2011-02-16 11:48:00,C544117,POST,,1.0,2011-02-16 11:48:00,18.0,12727.0,France,21
24299,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,1.65,12683.0,France,17
24372,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,6.75,12683.0,France,7
24378,2011-11-03 09:54:00,C574095,,,1.0,2011-11-03 09:54:00,2.95,12674.0,France,1
24454,2011-12-02 12:43:00,C580263,,,1.0,2011-12-02 12:43:00,4.25,12536.0,France,16
24494,2011-10-06 19:36:00,C569981,22312,OFFICE MUG WARMER POLKADOT,-2.0,2011-10-06 19:36:00,2.95,12679.0,France,18
24556,2011-02-14 10:24:00,C543834,,,-15.0,2011-02-14 10:24:00,0.42,12553.0,France,26
24612,2011-11-30 09:21:00,C579532,22890,,1.0,2011-11-30 09:21:00,9.95,12494.0,France,1
24640,2011-05-31 13:45:00,C555100,,,-1.0,2011-05-31 13:45:00,16.95,12493.0,France,13
24746,2011-03-08 14:35:00,C545997,,,1.0,2011-03-08 14:35:00,9.95,12679.0,France,31
24755,2011-11-03 14:00:00,C574261,21208,,1.0,2011-11-03 14:00:00,0.39,12683.0,France,32
24758,2011-05-20 13:54:00,C554029,22423,,1.0,2011-05-20 13:54:00,12.75,12681.0,France,23
24786,2011-02-22 10:03:00,C544609,85170D,,-3.0,2011-02-22 10:03:00,2.1,12494.0,France,23
24802,2011-11-28 15:43:00,C579192,,,1.0,2011-11-28 15:43:00,3.25,12657.0,France,2
24823,2011-11-28 15:43:00,C579192,,,1.0,2011-11-28 15:43:00,4.25,12657.0,France,20
24828,2011-05-20 13:54:00,C554029,22423,,1.0,2011-05-20 13:54:00,12.75,12681.0,France,18
24831,2011-12-02 12:43:00,C580263,,,1.0,2011-12-02 12:43:00,0.29,12536.0,France,5
24863,2011-01-06 16:17:00,C540367,POST,,-3.0,2011-01-06 16:17:00,18.0,12413.0,France,30
24922,2011-06-08 09:14:00,C555935,,,-6.0,2011-06-08 09:14:00,1.95,12567.0,France,10
25001,2011-11-30 09:21:00,C579532,POST,,1.0,2011-11-30 09:21:00,18.0,12494.0,France,25
25009,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,2.89,12683.0,France,3
25031,2011-11-30 11:39:00,C579562,23084,,-1.0,2011-11-30 11:39:00,2.08,12553.0,France,2
25046,2011-09-26 12:21:00,C568244,,,-1.0,2011-09-26 12:21:00,4.15,12583.0,France,19
25094,2011-01-05 11:13:00,C540151,,RED RETROSPOT CAKE STAND,1.0,2011-01-05 11:13:00,10.95,12494.0,France,2
25134,2011-09-26 12:21:00,C568244,,,-1.0,2011-09-26 12:21:00,4.15,12583.0,France,22
25135,2011-12-02 12:43:00,C580263,,,1.0,2011-12-02 12:43:00,0.59,12536.0,France,25
25159,2011-01-05 11:13:00,C540151,,RED RETROSPOT CAKE STAND,1.0,2011-01-05 11:13:00,10.95,12494.0,France,31
25169,2011-01-25 12:36:00,C542088,22556,,-12.0,2011-01-25 12:36:00,1.65,12553.0,France,9
25245,2011-12-08 11:46:00,C581316,23174,,1.0,2011-12-08 11:46:00,4.15,12523.0,France,6
25270,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,6.75,12683.0,France,16
25298,2011-06-08 09:14:00,C555935,,,-16.0,2011-06-08 09:14:00,1.25,12567.0,France,13
25472,2011-02-14 10:24:00,C543834,,,-15.0,2011-02-14 10:24:00,0.42,12553.0,France,32
25537,2011-06-08 09:14:00,C555935,,,-25.0,2011-06-08 09:14:00,0.42,12567.0,France,24
25715,2011-06-08 09:14:00,C555935,,,-24.0,2011-06-08 09:14:00,1.25,12567.0,France,8
25765,2011-04-14 14:23:00,C550147,POST,POSTAGE,-3.0,2011-04-14 14:23:00,18.0,12637.0,France,20
25792,2011-12-02 12:43:00,C580263,,,1.0,2011-12-02 12:43:00,0.85,12536.0,France,31
25796,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,1.25,12683.0,France,21
25829,2011-06-08 09:14:00,C555935,,,-10.0,2011-06-08 09:14:00,1.65,12567.0,France,9
25931,2011-11-08 08:55:00,C574946,22960,,-2.0,2011-11-08 08:55:00,4.25,12656.0,France,32
25968,2011-04-01 10:22:00,C548564,,,-1.0,2011-04-01 10:22:00,7.95,12616.0,France,13
26006,2011-01-27 09:40:00,C542271,84927D,,-2.0,2011-01-27 09:40:00,2.1,12637.0,France,29
26007,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,2.08,12683.0,France,8
26165,2011-12-02 12:43:00,C580263,,,1.0,2011-12-02 12:43:00,0.59,12536.0,France,27
26167,2011-11-28 15:43:00,C579192,,,1.0,2011-11-28 15:43:00,2.95,12657.0,France,11
26250,2011-09-26 12:21:00,C568244,,,-1.0,2011-09-26 12:21:00,4.15,12583.0,France,22
26395,2011-11-30 09:21:00,C579532,POST,,1.0,2011-11-30 09:21:00,18.0,12494.0,France,25
26410,2011-12-08 11:46:00,C581316,21531,,1.0,2011-12-08 11:46:00,2.55,12523.0,France,18
26432,2011-11-03 14:00:00,C574261,21208,,1.0,2011-11-03 14:00:00,0.39,12683.0,France,11
26543,2011-09-15 17:02:00,C566960,22634,,-3.0,2011-09-15 17:02:00,9.95,12616.0,France,32
26556,2011-06-08 09:14:00,C555935,,,-10.0,2011-06-08 09:14:00,1.65,12567.0,France,13
26688,2011-09-15 17:02:00,C566960,22634,,-3.0,2011-09-15 17:02:00,9.95,12616.0,France,14
26832,2011-10-11 10:39:00,C570515,90201B,,1.0,2011-10-11 10:39:00,2.95,12719.0,France,2
26850,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,1.65,12683.0,France,30
26869,2011-09-16 12:45:00,C567091,22960,JAM MAKING SET WITH JARS,1.0,2011-09-16 12:45:00,4.25,12513.0,France,10
26999,2011-11-03 09:54:00,C574095,,,1.0,2011-11-03 09:54:00,3.75,12674.0,France,6
27099,2011-11-04 13:28:00,C574512,,,-6.0,2011-11-04 13:28:00,10.4,12577.0,France,15
27104,2011-11-03 14:00:00,C574261,23169,,1.0,2011-11-03 14:00:00,4.15,12683.0,France,18
27130,2011-11-17 09:39:00,C576908,,,-1.0,2011-11-17 09:39:00,1.65,12670.0,France,31
27136,2011-11-28 12:22:00,C579127,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,-1.0,2011-11-28 12:22:00,2.95,12674.0,France,15
27157,2011-04-27 16:28:00,C551333,,BIRDS MOBILE VINTAGE DESIGN,-2.0,2011-04-27 16:28:00,5.95,12681.0,France,31
27233,2011-11-08 08:55:00,C574946,22960,,-2.0,2011-11-08 08:55:00,4.25,12656.0,France,3
27276,2011-11-03 14:00:00,C574261,23236,,1.0,2011-11-03 14:00:00,2.89,12683.0,France,25
27303,2011-08-12 10:31:00,C563109,20725,,-6.0,2011-08-12 10:31:00,1.65,12656.0,France,3
27328,2011-02-14 10:24:00,C543834,,,-15.0,2011-02-14 10:24:00,0.42,12553.0,France,16
27430,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,2.89,12683.0,France,9
27446,2011-06-08 09:14:00,C555935,,,-16.0,2011-06-08 09:14:00,1.25,12567.0,France,17
27449,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,1.65,12683.0,France,18
27512,2011-06-08 09:14:00,C555935,,,-2.0,2011-06-08 09:14:00,8.25,12567.0,France,3
27518,2011-01-21 17:01:00,C541825,20914,,-1.0,2011-01-21 17:01:00,2.95,12652.0,France,11
27576,2011-09-22 17:19:00,C567916,POST,POSTAGE,-1.0,2011-09-22 17:19:00,18.0,12579.0,France,26
27601,2011-08-12 10:31:00,C563109,20725,,-6.0,2011-08-12 10:31:00,1.65,12656.0,France,21
27631,2011-11-17 09:39:00,C576908,,,-5.0,2011-11-17 09:39:00,1.65,12670.0,France,29
27661,2011-01-21 17:01:00,C541825,21877,,-1.0,2011-01-21 17:01:00,1.25,12652.0,France,12
27692,2011-11-03 14:00:00,C574261,23236,,1.0,2011-11-03 14:00:00,2.89,12683.0,France,4
27705,2011-11-28 15:43:00,C579192,,,1.0,2011-11-28 15:43:00,2.95,12657.0,France,25
27828,2011-09-15 17:02:00,C566960,22634,,-3.0,2011-09-15 17:02:00,9.95,12616.0,France,12
27835,2011-07-21 17:30:00,C560898,85066,,-1.0,2011-07-21 17:30:00,12.75,12722.0,France,21
27877,2011-11-04 13:28:00,C574512,,,-6.0,2011-11-04 13:28:00,10.4,12577.0,France,10
27967,2011-11-04 13:28:00,C574512,,,-6.0,2011-11-04 13:28:00,10.4,12577.0,France,11
27977,2011-02-18 15:22:00,C544422,,,-12.0,2011-02-18 15:22:00,0.85,12553.0,France,30
28028,2011-11-03 09:54:00,C574095,,,1.0,2011-11-03 09:54:00,2.95,12674.0,France,31
28243,2011-11-24 11:44:00,C578377,,,-120.0,2011-11-24 11:44:00,0.72,14277.0,France,6
28262,2011-06-08 09:14:00,C555935,,,-10.0,2011-06-08 09:14:00,1.65,12567.0,France,29
28366,2011-11-03 09:54:00,C574095,,,1.0,2011-11-03 09:54:00,3.75,12674.0,France,13
28503,2011-09-05 15:20:00,C565615,,,1.0,2011-09-05 15:20:00,1.25,12683.0,France,18
28620,2011-06-30 14:58:00,C558575,22693,,1.0,2011-06-30 14:58:00,1.25,12674.0,France,7
28673,2011-09-26 12:21:00,C568244,,,-1.0,2011-09-26 12:21:00,4.15,12583.0,France,10
28718,2011-10-11 10:39:00,C570515,90201C,,1.0,2011-10-11 10:39:00,2.95,12719.0,France,10
28721,2011-01-31 13:28:00,C542714,21843,RED RETROSPOT CAKE STAND,-5.0,2011-01-31 13:28:00,10.95,12437.0,France,2
28781,2011-06-08 09:14:00,C555935,,,-6.0,2011-06-08 09:14:00,1.95,12567.0,France,14
28795,2011-06-08 09:14:00,C555935,,,-12.0,2011-06-08 09:14:00,0.39,12567.0,France,21
29044,2011-03-07 13:32:00,C545837,22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,-24.0,2011-03-07 13:32:00,0.85,12598.0,France,17
29092,2010-12-09 10:14:00,C537893,,CHILDS BREAKFAST SET SPACEBOY ,-2.0,2010-12-09 10:14:00,9.95,12721.0,France,4
29107,2011-01-06 16:17:00,C540367,POST,,-3.0,2011-01-06 16:17:00,18.0,12413.0,France,15
29250,2011-07-28 13:41:00,C561621,22797,CHEST OF DRAWERS GINGHAM HEART ,1.0,2011-07-28 13:41:00,16.95,12722.0,France,14
